wellName,datasetName,DEPTH,GR,NPHI,RHOB,RT
BEKOK DEEP-1RDR1 ST1,EDIT,920.0388,59.91999817,0.616900027,0.311800003,77.26999664
BEKOK DEEP-1RDR1 ST1,EDIT,920.1912,58.15000153,0.582899988,0.313300014,81.66999817
BEKOK DEEP-1RDR1 ST1,EDIT,920.3436,60.27999878,0.620899975,0.91109997,82.05000305
BEKOK DEEP-1RDR1 ST1,EDIT,920.496,63.56999969,0.585799992,0.730199993,63.77999878
BEKOK DEEP-1RDR1 ST1,EDIT,920.6484,60.06000137,0.580600023,0.530900002,58.52999878
BEKOK DEEP-1RDR1 ST1,EDIT,920.8008,55.00999832,0.589999974,0.35800001,59.22999954
BEKOK DEEP-1RDR1 ST1,EDIT,920.9532,58.20999908,0.637600005,0.185100004,68.04000092
BEKOK DEEP-1RDR1 ST1,EDIT,921.1056,61.90000153,0.545099974,0.0122,68.69000244
BEKOK DEEP-1RDR1 ST1,EDIT,921.258,55.36000061,0.479999989,0.140100002,63.04999924
BEKOK DEEP-1RDR1 ST1,EDIT,921.4104,64.76999664,0.532899976,0.4921,72.18000031
BEKOK DEEP-1RDR1 ST1,EDIT,921.5628,76.23999786,0.542999983,1.063799977,54.99000168
BEKOK DEEP-1RDR1 ST1,EDIT,921.7152,70.09999847,0.565100014,1.580500007,23.79999924
BEKOK DEEP-1RDR1 ST1,EDIT,921.8676,69.06999969,0.61680001,1.824000001,10.94999981
BEKOK DEEP-1RDR1 ST1,EDIT,922.02,61.20000076,0.586499989,1.967599988,6.980000019
BEKOK DEEP-1RDR1 ST1,EDIT,922.1724,62.06000137,0.720600009,2.102799892,1.669999957
BEKOK DEEP-1RDR1 ST1,EDIT,922.3248,68.26999664,0.628300011,2.156699896,2.150000095
BEKOK DEEP-1RDR1 ST1,EDIT,922.4772,79.23999786,0.765399992,2.018899918,14.77999973
BEKOK DEEP-1RDR1 ST1,EDIT,922.6296,67.43000031,0.715600014,1.694300056,18.63999939
BEKOK DEEP-1RDR1 ST1,EDIT,922.782,74.93000031,0.620400012,1.585899949,14.48999977
BEKOK DEEP-1RDR1 ST1,EDIT,922.9344,61.34999847,0.600700021,1.765799999,11.81999969
BEKOK DEEP-1RDR1 ST1,EDIT,923.0868,58.34999847,0.630299985,1.789100051,8.5
BEKOK DEEP-1RDR1 ST1,EDIT,923.2392,61.93999863,0.709100008,2.095299959,12.86999989
BEKOK DEEP-1RDR1 ST1,EDIT,923.3916,68.16000366,0.597800016,2.39289999,4.050000191
BEKOK DEEP-1RDR1 ST1,EDIT,923.544,68.66000366,0.591899991,2.321500063,4.090000153
BEKOK DEEP-1RDR1 ST1,EDIT,923.6964,64.76999664,0.729900002,2.316099882,5.360000134
BEKOK DEEP-1RDR1 ST1,EDIT,923.8488,50.97999954,0.59829998,2.289299965,4.019999981
BEKOK DEEP-1RDR1 ST1,EDIT,924.0012,65.18000031,0.621200025,2.343800068,3.079999924
BEKOK DEEP-1RDR1 ST1,EDIT,924.1536,71.83999634,0.534500003,2.335299969,2.710000038
BEKOK DEEP-1RDR1 ST1,EDIT,924.306,69.55999756,0.541100025,2.342600107,2.839999914
BEKOK DEEP-1RDR1 ST1,EDIT,924.4584,55.13999939,0.412,2.348799944,3.019999981
BEKOK DEEP-1RDR1 ST1,EDIT,924.6108,55.31000137,0.351099998,2.342200041,3.029999971
BEKOK DEEP-1RDR1 ST1,EDIT,924.7632,59.09999847,0.363799989,2.395299911,2.74000001
BEKOK DEEP-1RDR1 ST1,EDIT,924.9156,69.83000183,0.367799997,2.410599947,2.799999952
BEKOK DEEP-1RDR1 ST1,EDIT,925.068,72.77999878,0.377700001,2.323499918,2.829999924
BEKOK DEEP-1RDR1 ST1,EDIT,925.2204,60.31999969,0.419400007,2.253599882,2.75
BEKOK DEEP-1RDR1 ST1,EDIT,925.3728,59.38000107,0.437400013,2.131500006,2.579999924
BEKOK DEEP-1RDR1 ST1,EDIT,925.5252,62.06999969,0.461199999,1.987800002,2.460000038
BEKOK DEEP-1RDR1 ST1,EDIT,925.6776,62.72999954,0.452199996,1.898499966,2.190000057
BEKOK DEEP-1RDR1 ST1,EDIT,925.83,61.45999908,0.430299997,2.006999969,2.24000001
BEKOK DEEP-1RDR1 ST1,EDIT,925.9824,62.31999969,0.427399993,2.099600077,2.440000057
BEKOK DEEP-1RDR1 ST1,EDIT,926.1348,58.34999847,0.391900003,2.101999998,2.529999971
BEKOK DEEP-1RDR1 ST1,EDIT,926.2872,65.08999634,0.347000003,2.12770009,2.619999886
BEKOK DEEP-1RDR1 ST1,EDIT,926.4396,66.02999878,0.330599993,2.102999926,2.49000001
BEKOK DEEP-1RDR1 ST1,EDIT,926.592,63.36999893,0.317900002,2.051800013,2.630000114
BEKOK DEEP-1RDR1 ST1,EDIT,926.7444,49.70000076,0.283699989,2.005500078,2.859999895
BEKOK DEEP-1RDR1 ST1,EDIT,926.8968,42.93000031,0.271100014,1.897500038,3.089999914
BEKOK DEEP-1RDR1 ST1,EDIT,927.0492,59.95999908,0.27759999,1.806699991,3.390000105
BEKOK DEEP-1RDR1 ST1,EDIT,927.2016,56.06999969,0.251899987,1.939900041,4.369999886
BEKOK DEEP-1RDR1 ST1,EDIT,927.354,64.91000366,0.240199998,2.0079,6.199999809
BEKOK DEEP-1RDR1 ST1,EDIT,927.5064,58.06999969,0.221900001,2.049200058,3.900000095
BEKOK DEEP-1RDR1 ST1,EDIT,927.6588,56.61000061,0.208700001,2.067800045,3.400000095
BEKOK DEEP-1RDR1 ST1,EDIT,927.8112,63.81000137,0.208199993,2.043499947,3.359999895
BEKOK DEEP-1RDR1 ST1,EDIT,927.9636,61.65999985,0.218700007,2.005500078,3.230000019
BEKOK DEEP-1RDR1 ST1,EDIT,928.116,58.24000168,0.2192,2.020699978,3.329999924
BEKOK DEEP-1RDR1 ST1,EDIT,928.2684,55.18000031,0.198200002,2.039799929,4.760000229
BEKOK DEEP-1RDR1 ST1,EDIT,928.4208,57.16999817,0.184799999,2.04189992,102.4400024
BEKOK DEEP-1RDR1 ST1,EDIT,928.5732,60.29000092,0.181899995,2.02699995,813.0499878
BEKOK DEEP-1RDR1 ST1,EDIT,928.7256,52.47999954,0.195800006,2.013799906,112.4700012
BEKOK DEEP-1RDR1 ST1,EDIT,928.878,53.97000122,0.207900003,2.049200058,6.409999847
BEKOK DEEP-1RDR1 ST1,EDIT,929.0304,68.31999969,0.207200006,2.076499939,4.059999943
BEKOK DEEP-1RDR1 ST1,EDIT,929.1828,47.79000092,0.204500005,2.084399939,3.579999924
BEKOK DEEP-1RDR1 ST1,EDIT,929.3352,57,0.211199999,2.128999949,4.300000191
BEKOK DEEP-1RDR1 ST1,EDIT,929.4876,58.90999985,0.346100003,2.236599922,4.440000057
BEKOK DEEP-1RDR1 ST1,EDIT,929.64,53.20999908,0.384200007,2.187400103,3.119999886
BEKOK DEEP-1RDR1 ST1,EDIT,929.7924,53.22999954,0.302700013,2.051199913,2.99000001
BEKOK DEEP-1RDR1 ST1,EDIT,929.9448,44.18000031,0.322299987,2.055700064,3.069999933
BEKOK DEEP-1RDR1 ST1,EDIT,930.0972,60.97000122,0.323599994,2.056999922,3.160000086
BEKOK DEEP-1RDR1 ST1,EDIT,930.2496,59.45999908,0.329400003,2.065500021,3.079999924
BEKOK DEEP-1RDR1 ST1,EDIT,930.402,63.45999908,0.332899988,2.092700005,2.920000076
BEKOK DEEP-1RDR1 ST1,EDIT,930.5544,60.59999847,0.400700003,2.075900078,2.930000067
BEKOK DEEP-1RDR1 ST1,EDIT,930.7068,52.45000076,0.440400004,2.036000013,3.019999981
BEKOK DEEP-1RDR1 ST1,EDIT,930.8592,57.91999817,0.421999991,2.032200098,3.00999999
BEKOK DEEP-1RDR1 ST1,EDIT,931.0116,81.33000183,0.527700007,2.104000092,3.029999971
BEKOK DEEP-1RDR1 ST1,EDIT,931.164,77.59999847,0.50999999,2.122800112,2.970000029
BEKOK DEEP-1RDR1 ST1,EDIT,931.3164,68.62999725,0.47240001,2.124300003,2.930000067
BEKOK DEEP-1RDR1 ST1,EDIT,931.4688,73.29000092,0.448000014,2.127599955,2.829999924
BEKOK DEEP-1RDR1 ST1,EDIT,931.6212,74.91000366,0.474400014,2.155900002,2.640000105
BEKOK DEEP-1RDR1 ST1,EDIT,931.7736,92.51000214,0.468199998,2.216200113,2.390000105
BEKOK DEEP-1RDR1 ST1,EDIT,931.926,95.52999878,0.461499989,2.261300087,2.059999943
BEKOK DEEP-1RDR1 ST1,EDIT,932.0784,85,0.455900013,2.243000031,1.799999952
BEKOK DEEP-1RDR1 ST1,EDIT,932.2308,87.84999847,0.436800003,2.20720005,1.620000005
BEKOK DEEP-1RDR1 ST1,EDIT,932.3832,90.77999878,0.484899998,2.154700041,1.529999971
BEKOK DEEP-1RDR1 ST1,EDIT,932.5356,81.83999634,0.552200019,2.130399942,1.50999999
BEKOK DEEP-1RDR1 ST1,EDIT,932.688,84.88999939,0.58069998,2.082499981,1.470000029
BEKOK DEEP-1RDR1 ST1,EDIT,932.8404,85.73000336,0.658599973,2.108799934,1.389999986
BEKOK DEEP-1RDR1 ST1,EDIT,932.9928,94.02999878,0.558600008,2.144299984,1.350000024
BEKOK DEEP-1RDR1 ST1,EDIT,933.1452,93.13999939,0.505299985,2.16170001,1.379999995
BEKOK DEEP-1RDR1 ST1,EDIT,933.2976,91.45999908,0.520399988,2.144099951,1.440000057
BEKOK DEEP-1RDR1 ST1,EDIT,933.45,89.40000153,0.542400002,2.097899914,1.470000029
BEKOK DEEP-1RDR1 ST1,EDIT,933.6024,83.94000244,0.530200005,2.069000006,1.450000048
BEKOK DEEP-1RDR1 ST1,EDIT,933.7548,82.26000214,0.513000011,2.069600105,1.419999957
BEKOK DEEP-1RDR1 ST1,EDIT,933.9072,82.55000305,0.486299992,2.058099985,1.389999986
BEKOK DEEP-1RDR1 ST1,EDIT,934.0596,90.54000092,0.487599999,2.137200117,1.379999995
BEKOK DEEP-1RDR1 ST1,EDIT,934.212,77.08999634,0.50120002,2.172899961,1.450000048
BEKOK DEEP-1RDR1 ST1,EDIT,934.3644,80.43000031,0.441900015,2.204900026,1.580000043
BEKOK DEEP-1RDR1 ST1,EDIT,934.5168,83.75,0.404399991,2.218699932,1.649999976
BEKOK DEEP-1RDR1 ST1,EDIT,934.6692,74.31999969,0.407499999,2.075799942,1.649999976
BEKOK DEEP-1RDR1 ST1,EDIT,934.8216,85.29000092,0.380100012,2.280200005,1.659999967
BEKOK DEEP-1RDR1 ST1,EDIT,934.974,79,0.363499999,2.5006001,1.669999957
BEKOK DEEP-1RDR1 ST1,EDIT,935.1264,85.18000031,0.373899996,2.342900038,1.669999957
BEKOK DEEP-1RDR1 ST1,EDIT,935.2788,92.62999725,0.390899986,2.33859992,1.580000043
BEKOK DEEP-1RDR1 ST1,EDIT,935.4312,78.23999786,0.371600002,2.335000038,1.549999952
BEKOK DEEP-1RDR1 ST1,EDIT,935.5836,78.31999969,0.385399997,2.353800058,1.549999952
BEKOK DEEP-1RDR1 ST1,EDIT,935.736,91.76999664,0.416500002,2.328299999,1.529999971
BEKOK DEEP-1RDR1 ST1,EDIT,935.8884,92.52999878,0.415399998,2.355999947,1.529999971
BEKOK DEEP-1RDR1 ST1,EDIT,936.0408,85.38999939,0.3838,2.354799986,1.519999981
BEKOK DEEP-1RDR1 ST1,EDIT,936.1932,83.73999786,0.390899986,2.325599909,1.5
BEKOK DEEP-1RDR1 ST1,EDIT,936.3456,91.26000214,0.41080001,2.328299999,1.470000029
BEKOK DEEP-1RDR1 ST1,EDIT,936.498,100.2699966,0.400599986,2.332600117,1.450000048
BEKOK DEEP-1RDR1 ST1,EDIT,936.6504,102.2200012,0.405200005,2.251899958,1.49000001
BEKOK DEEP-1RDR1 ST1,EDIT,936.8028,89.52999878,0.388999999,2.259200096,1.5
BEKOK DEEP-1RDR1 ST1,EDIT,936.9552,90.73000336,0.393000007,2.31159997,1.480000019
BEKOK DEEP-1RDR1 ST1,EDIT,937.1076,87.62000275,0.385800004,2.296200037,1.50999999
BEKOK DEEP-1RDR1 ST1,EDIT,937.26,103.1600037,0.401300013,2.276000023,1.529999971
BEKOK DEEP-1RDR1 ST1,EDIT,937.4124,105.3600006,0.423700005,2.293299913,1.539999962
BEKOK DEEP-1RDR1 ST1,EDIT,937.5648,96.73999786,0.392199993,2.300499916,1.5
BEKOK DEEP-1RDR1 ST1,EDIT,937.7172,101.2300034,0.414999992,2.289000034,1.480000019
BEKOK DEEP-1RDR1 ST1,EDIT,937.8696,112.1600037,0.39320001,2.279599905,1.480000019
BEKOK DEEP-1RDR1 ST1,EDIT,938.022,110.5599976,0.389200002,2.30189991,1.470000029
