wellName,datasetName,DEPTH,MTVDSS,TOPS,X,Y
,,M,M,,,
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,959.674992,925.595304,I60Base,525532.81,598617.64
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,962.90892,928.81704,I68Top,525533.1,598617.54
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,988.317048,954.03924,I68Base,525536.04,598616.82
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,1198.379112,1156.53312,I100Top,525586.98,598634.33
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,1243.010976,1198.38216,I100Base,525601.73,598639.13
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,1264.337832,1218.358752,I105FS,525608.82,598641.45
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,1275.92328,1229.206584,I105SB,525612.68,598642.72
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,1277.575296,1230.754968,I110 Top,525613.23,598642.91
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,1299.34716,1251.121704,I110 Base,525620.54,598645.31
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,1306.656264,1257.958368,I115FS,525623,598646.12
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,1311.590976,1262.566944,Coal_1,525624.67,598646.67
BEKOK DEEP-1RDR1 ST1,TOPS_I110_v2,1359.030048,1306.86048,I115SB,525640.81,598651.94
